"Var1" "Freq"
"China" 197
"Japan" 190
"South Korea" 114
"Hong Kong" 94
"Singapore" 93
"Germany" 54
"Thailand" 41
"France" 39
"Spain" 34
"Taiwan" 34
"Malaysia" 23
"UAE" 21
"UK" 20
"Iran" 18
"USA" 18
"Bahrain" 17
"Vietnam" 16
"Australia" 15
"Canada" 12
"Kuwait" 9
"India" 3
"Italy" 3
"Phillipines" 3
"Austria" 2
"Russia" 2
"Afghanistan" 1
"Algeria" 1
"Belgium" 1
"Cambodia" 1
"Croatia" 1
"Egypt" 1
"Finland" 1
"Israel" 1
"Lebanon" 1
"Nepal" 1
"Sri Lanka" 1
"Sweden" 1
"Switzerland" 1
